escenario,diseno_ciclo,semilla,verde_s,fase,direccion,carril,tipo,spawn_s,cruce_s,demora_total_s,idle_time_s,prt_gastado_s
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,bike,252.133,282.933,30.8,11.033,3.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,car,263.25,283.067,19.817,0.0,0.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,bike,264.267,284.383,20.117,0.0,0.0
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,car,232.117,290.55,58.433,37.033,3.0
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,car,255.133,290.55,35.417,16.733,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,1,car,259.183,290.55,31.367,10.967,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,bus,250.133,290.583,40.45,16.783,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,bike,237.117,292.5,55.383,35.55,3.0
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,bike,257.15,292.5,35.35,18.067,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,truck,254.133,292.917,38.783,14.15,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,bike,249.133,294.35,45.217,25.033,3.0
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,bus,265.283,294.667,29.383,4.9,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,bus,260.2,295.117,34.917,9.7,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,car,261.217,296.95,35.733,14.733,6.0
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,bus,267.317,297.017,29.7,4.367,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,bus,271.383,299.367,27.983,1.8,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,1,car,278.5,299.417,20.917,0.0,0.0
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,bus,269.35,299.583,30.233,3.533,1.5
