escenario,diseno_ciclo,semilla,verde_s,fase,direccion,carril,tipo,spawn_s,cruce_s,demora_total_s,idle_time_s,prt_gastado_s
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,car,125.55,139.3,13.75,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,1,bike,123.517,139.567,16.05,4.867,3.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,1,car,117.4,145.783,28.383,17.917,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,bus,115.367,145.817,30.45,15.867,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,1,bus,124.533,145.817,21.283,7.183,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,1,bus,131.6,147.917,16.317,2.8,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,bus,119.433,148.133,28.7,13.283,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,2,car,140.6,148.7,8.1,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,bus,127.6,150.467,22.867,6.6,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,car,128.6,152.083,23.483,9.633,3.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,1,truck,137.6,152.1,14.5,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,1,bike,142.6,153.367,10.767,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,bike,135.6,153.75,18.15,5.117,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,2,bus,143.617,154.383,10.767,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,car,136.6,155.967,19.367,4.617,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,2,bike,147.633,156.0,8.367,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,car,121.467,161.767,40.3,28.633,3.0
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,1,bike,129.6,161.783,32.183,20.65,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,truck,133.6,161.8,28.2,10.4,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,2,truck,134.6,161.817,27.217,16.783,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,bike,130.6,163.717,33.117,22.067,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,2,bike,138.6,163.783,25.183,17.167,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,truck,145.617,164.15,18.533,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,bus,132.6,165.883,33.283,17.8,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,2,truck,139.6,165.983,26.383,14.75,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,2,car,144.617,167.783,23.167,13.3,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,car,151.633,167.817,16.183,2.95,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,bike,155.65,169.5,13.85,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,2,truck,146.633,170.317,23.683,10.7,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,2,bike,149.633,171.6,21.967,12.1,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,1,bike,154.65,177.783,23.133,12.033,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,bus,141.6,177.8,36.2,17.333,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,1,truck,148.633,177.8,29.167,13.967,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,2,bus,150.633,177.8,27.167,15.067,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,1,car,160.667,179.683,19.017,6.283,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,1,bus,159.667,180.0,20.333,4.55,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,2,bus,152.65,180.15,27.5,14.55,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,1,bike,166.667,181.583,14.917,3.0,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,1,bike,163.667,181.9,18.233,6.0,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,2,truck,153.65,182.483,28.833,15.05,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,1,bike,165.667,183.75,18.083,5.5,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,2,car,156.65,184.2,27.55,15.95,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,1,bus,167.667,184.717,17.05,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,bike,170.683,185.15,14.467,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,2,car,161.667,186.217,24.55,12.433,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,1,bike,173.717,193.783,20.067,8.167,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,truck,157.65,193.8,36.15,16.417,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,2,bus,168.667,193.8,25.133,10.933,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,bus,158.667,193.817,35.15,18.183,1.5
