escenario,diseno_ciclo,semilla,verde_s,fase,direccion,carril,tipo,spawn_s,cruce_s,demora_total_s,idle_time_s,prt_gastado_s
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,truck,134.567,145.0,10.433,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,bike,123.5,146.0,22.5,11.317,4.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,truck,111.25,146.517,35.267,22.133,3.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,bike,138.567,146.583,8.017,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,bike,129.567,147.85,18.283,6.75,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,car,120.45,148.233,27.783,16.65,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,car,121.467,150.25,28.783,17.133,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,car,140.567,155.817,15.25,7.15,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,bus,119.433,155.833,36.4,20.983,3.0
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,1,bus,131.567,155.833,24.267,10.75,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,1,bus,124.517,155.85,31.333,17.233,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,1,bike,142.567,157.917,15.35,4.6,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,bus,143.567,157.967,14.4,3.633,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,bus,127.567,158.167,30.6,14.333,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,1,truck,137.567,158.183,20.617,6.117,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,bike,147.567,159.883,12.317,3.95,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,car,128.567,160.15,31.583,17.733,4.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,bike,135.567,161.967,26.4,13.367,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,bus,150.567,162.667,12.1,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,1,truck,148.567,163.767,15.2,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,car,136.567,164.033,27.467,12.717,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,bike,130.567,169.817,39.25,28.2,3.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,truck,133.567,169.833,36.267,18.467,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,truck,139.567,169.85,30.283,18.65,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,bus,132.567,171.817,39.25,23.767,3.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,car,144.567,171.883,27.317,17.45,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,truck,145.567,172.05,26.483,7.967,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,bike,155.567,173.833,18.267,4.417,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,car,151.567,173.867,22.3,9.083,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,truck,146.567,174.183,27.617,14.633,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,bus,158.583,175.55,16.967,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,bike,149.567,175.583,26.017,16.15,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,truck,157.567,177.3,19.733,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,1,bike,154.567,183.817,29.25,18.15,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,bus,141.567,183.833,42.267,23.4,3.0
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,1,bus,159.583,183.833,24.25,8.467,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,bus,152.567,183.85,31.283,18.333,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,bike,170.617,185.067,14.45,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,1,car,160.583,185.717,25.133,12.4,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,1,bike,163.583,185.8,22.217,9.983,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,truck,153.567,186.183,32.617,18.833,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,1,bike,166.6,187.617,21.017,9.1,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,1,bike,165.6,187.65,22.05,9.467,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,car,156.567,188.067,31.5,19.9,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,1,bus,167.6,189.933,22.333,5.283,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,car,161.583,190.083,28.5,16.383,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,1,car,177.633,191.883,14.25,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,bike,171.617,197.817,26.2,13.133,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,bike,173.617,197.817,24.2,12.3,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,car,164.583,197.833,33.25,16.883,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,bus,168.6,197.833,29.233,15.033,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,bike,180.633,199.683,19.05,5.617,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,bike,174.617,199.767,25.15,9.983,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,truck,175.617,199.8,24.183,7.383,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,truck,169.617,200.183,30.567,15.533,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,bus,182.633,201.417,18.783,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,bus,172.617,202.4,29.783,14.033,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,car,184.633,203.533,18.9,3.033,3.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,bus,178.633,204.733,26.1,9.517,1.5
