escenario,diseno_ciclo,semilla,verde_s,fase,direccion,carril,tipo,spawn_s,cruce_s,demora_total_s,idle_time_s,prt_gastado_s
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,1,truck,214.583,244.65,30.067,9.0,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,1,bike,215.583,246.333,30.75,15.067,6.0
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,2,bus,217.583,246.633,29.05,6.667,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,2,truck,226.617,247.15,20.533,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,2,bike,230.617,247.6,16.983,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,2,bus,228.617,249.85,21.233,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,2,bike,219.583,258.433,38.85,21.767,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,1,bike,221.6,258.433,36.833,18.8,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,bus,220.583,258.45,37.867,17.1,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,2,bus,229.617,258.467,28.85,8.883,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,2,bike,222.617,260.283,37.667,20.233,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,bike,232.633,260.533,27.9,12.083,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,2,truck,234.633,260.8,26.167,5.367,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,bus,239.633,261.733,22.1,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,2,car,223.617,262.217,38.6,18.95,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,2,truck,235.633,263.017,27.383,5.867,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,2,bus,224.617,264.533,39.917,14.933,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,2,bike,240.633,264.567,23.933,7.933,3.0
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,truck,242.65,265.733,23.083,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,2,car,245.667,266.65,20.983,2.8,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,2,truck,225.617,266.883,41.267,15.3,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,2,bus,238.633,274.5,35.867,12.15,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,2,truck,233.633,274.517,40.883,18.8,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,1,truck,237.633,274.517,36.883,17.017,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,2,car,247.667,276.55,28.883,10.633,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,1,truck,241.633,276.717,35.083,14.5,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,2,bus,243.65,276.85,33.2,8.633,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,1,bike,250.683,278.5,27.817,12.333,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,2,bus,255.683,279.117,23.433,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,2,bus,244.65,279.2,34.55,9.117,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,1,car,252.683,280.517,27.833,10.35,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,2,bike,257.717,281.267,23.55,6.067,6.0
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,2,bus,246.667,281.533,34.867,8.617,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,2,car,262.8,282.617,19.817,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,2,bike,251.683,282.917,31.233,11.467,3.0
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,2,bike,263.817,283.933,20.117,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,1,bus,261.783,284.067,22.283,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,2,car,231.617,290.533,58.917,37.5,3.0
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,2,car,254.683,290.533,35.85,17.167,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,1,car,258.733,290.533,31.8,11.4,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,bus,249.683,290.567,40.883,17.217,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,2,bike,236.633,292.483,55.85,36.017,3.0
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,2,bike,256.7,292.483,35.783,18.5,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,truck,253.683,292.9,39.217,14.583,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,2,bike,248.683,294.333,45.65,25.467,3.0
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,2,bus,264.833,294.65,29.817,5.333,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,bus,259.75,295.1,35.35,10.133,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,car,260.767,296.933,36.167,15.167,6.0
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,2,bus,266.867,297.0,30.133,4.8,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,1,car,278.083,299.0,20.917,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,2,bus,270.933,299.35,28.417,2.217,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,bus,268.9,299.567,30.667,3.967,1.5
